,Day,Month,Year,Rented.Bike.Count,Hour,TemperatureC,Humidity,Wind.speed.ms,Visibility.10m,Dew.point.temperature.C,Solar.Radiation..MJ.m2.,Rainfallmm,Snowfall.cm,Seasons,Holiday
2964,3,4,2018,696,11,19,67,1.9,1062,12.7,0.52,0,0,Spring,No Holiday
2509,15,3,2018,204,12,13.3,97,2.9,771,12.8,0.19,2,0,Spring,No Holiday
4848,20,6,2018,1401,23,20.1,82,3.6,494,16.9,0,0,0,Summer,No Holiday
5996,7,8,2018,1898,19,32.9,56,2.6,1944,22.9,0.4,0,0,Summer,No Holiday
2649,21,3,2018,1097,8,1.6,42,1.8,2000,-9.9,0.13,0,0,Spring,No Holiday
7568,12,10,2018,1142,7,5.3,73,0.7,2000,0.8,0.01,0,0,Autumn,No Holiday
7626,14,10,2018,1990,17,18.2,43,2.3,1925,5.4,0.68,0,0,Autumn,No Holiday
6590,1,9,2018,1303,13,29.4,48,1.9,1942,17.2,2.88,0,0,Autumn,No Holiday
2609,19,3,2018,271,16,8.9,63,3,1614,2.2,0.28,0,0,Spring,No Holiday
612,26,12,2017,250,11,-2.1,28,4.9,1887,-18.2,0.87,0,0,Winter,No Holiday
5233,7,7,2018,1191,0,21.5,56,1.8,2000,12.3,0,0,0,Summer,No Holiday
6744,7,9,2018,1363,23,19.4,50,2.8,2000,8.6,0,0,0,Autumn,No Holiday
6502,28,8,2018,122,21,22.9,98,2.1,1146,22.5,0,29.5,0,Summer,No Holiday
2562,17,3,2018,1272,17,12.1,34,2.5,1240,-3.3,0.81,0,0,Spring,No Holiday
8504,20,11,2018,934,7,0.5,53,1.1,2000,-7.9,0,0,0,Autumn,No Holiday
1836,15,2,2018,170,11,0.1,22,2,2000,-19.1,1.84,0,0,Winter,Holiday
4184,24,5,2018,1390,7,12.5,61,1.3,1818,5.1,0.42,0,0,Spring,No Holiday
4163,23,5,2018,871,10,17.9,56,3.3,1919,8.9,2.63,0,0,Spring,No Holiday
5258,8,7,2018,946,1,19.9,52,1.6,2000,9.7,0,0,0,Summer,No Holiday
1218,20,1,2018,377,17,5.7,53,1.8,276,-3.1,0.22,0,0,Winter,No Holiday
332,14,12,2017,410,19,-4.2,40,0.9,1216,-15.8,0,0,0,Winter,No Holiday
3286,16,4,2018,1355,21,11.1,39,1.5,1734,-2.3,0,0,0,Spring,No Holiday
6636,3,9,2018,443,11,23.7,86,0.6,1798,21.2,0.31,0,0,Autumn,No Holiday
8056,1,11,2018,1094,15,14.8,30,2.7,1990,-2.6,1.71,0,0,Autumn,No Holiday
4999,27,6,2018,417,6,19.2,97,1.5,157,18.7,0,0,0,Summer,No Holiday
1565,4,2,2018,35,4,-11.2,47,2.3,2000,-20.3,0,0,0,Winter,No Holiday
533,23,12,2017,120,4,5.3,79,0.9,506,1.9,0,0,0,Winter,No Holiday
456,19,12,2017,149,23,-5.8,57,1.7,2000,-12.9,0,0,2,Winter,No Holiday
7970,29,10,2018,326,1,5.1,83,1.1,1989,2.4,0,0,0,Autumn,No Holiday
4648,12,6,2018,1427,15,26.2,42,2.7,1977,12.2,1.59,0,0,Summer,No Holiday
1232,21,1,2018,61,7,-3.2,54,1.2,1113,-11.2,0,0,0,Winter,No Holiday
7783,21,10,2018,172,6,7.6,75,0.6,1181,3.4,0,0,0,Autumn,No Holiday
5037,28,6,2018,1039,20,21,96,0.1,1431,20.3,0.02,0,0,Summer,No Holiday
3211,13,4,2018,2404,18,17.5,18,1.3,2000,-7.1,0.23,0,0,Spring,No Holiday
6404,24,8,2018,948,19,23.6,86,3,1275,21.1,0.04,0,0,Summer,No Holiday
1699,9,2,2018,659,18,4.1,40,2.1,1327,-8.3,0.1,0,0,Winter,No Holiday
7472,8,10,2018,1206,7,9.2,72,1,2000,4.4,0.01,0,0,Autumn,No Holiday
8158,5,11,2018,1289,21,12.2,79,1.8,351,8.6,0,0,0,Autumn,No Holiday
4695,14,6,2018,1153,14,23.8,62,1.2,1282,16,1.91,0,0,Summer,No Holiday
1304,24,1,2018,164,7,-15.9,30,3,2000,-29.5,0,0,0.9,Winter,No Holiday
3712,4,5,2018,1323,15,19.9,26,3.8,1898,-0.1,3,0,0,Spring,No Holiday
999,11,1,2018,187,14,-7.4,38,3.3,1718,-19.3,1.15,0,0,Winter,No Holiday
448,19,12,2017,195,15,-1.3,26,3,2000,-18.3,0.91,0,2.1,Winter,No Holiday
2635,20,3,2018,1111,18,4.1,43,3.5,2000,-7.3,0.21,0,0,Spring,No Holiday
7623,14,10,2018,1767,14,18.9,31,2.6,1936,1.3,2.37,0,0,Autumn,No Holiday
1879,17,2,2018,39,6,-6.2,32,2.5,2000,-20.2,0,0,0,Winter,Holiday
8064,1,11,2018,806,23,7.8,63,0.4,1547,1.1,0,0,0,Autumn,No Holiday
4840,20,6,2018,1266,15,27.9,45,3.6,1558,14.8,3.04,0,0,Summer,No Holiday
7360,3,10,2018,2200,15,24.1,34,2,1996,7.2,2.14,0,0,Autumn,Holiday
5420,14,7,2018,1797,19,30.4,59,2.4,1972,21.4,0.69,0,0,Summer,No Holiday
4348,31,5,2018,328,3,15,84,1.3,473,12.3,0,0,0,Spring,No Holiday
808,3,1,2018,286,15,-1.1,29,2.8,1976,-16.9,0.96,0,0,Winter,No Holiday
333,14,12,2017,277,20,-4.8,43,1.1,1397,-15.4,0,0,0,Winter,No Holiday
6512,29,8,2018,862,7,25,85,3,2000,22.2,0.02,0,0,Summer,No Holiday
1313,24,1,2018,124,16,-11.2,30,4.7,2000,-25.3,0.77,0,0.7,Winter,No Holiday
2176,1,3,2018,458,15,1.6,35,4.5,1567,-12.2,2.54,0,0,Spring,Holiday
8629,25,11,2018,700,12,6.9,59,0.9,669,-0.5,1.31,0,2.2,Autumn,No Holiday
8540,21,11,2018,1113,19,5.1,50,0.7,2000,-4.4,0,0,0,Autumn,No Holiday
1220,20,1,2018,223,19,3.5,66,1.7,187,-2.2,0,0,0,Winter,No Holiday
5720,27,7,2018,1111,7,27.6,80,1,783,23.8,0.27,0,0,Summer,No Holiday
1123,16,1,2018,592,18,4.9,59,1.4,427,-2.4,0,0,0,Winter,No Holiday
704,30,12,2017,88,7,-0.7,79,0.7,259,-3.8,0,0,0,Winter,No Holiday
2966,3,4,2018,870,13,20.1,61,2.6,1117,12.3,1.01,0,0,Spring,No Holiday
1884,17,2,2018,155,11,-2.8,19,2.6,1957,-23.2,1.91,0,0,Winter,Holiday
3035,6,4,2018,529,10,8,73,2.8,1641,3.4,1.44,0,0,Spring,No Holiday
1642,7,2,2018,237,9,-12,50,1.3,1523,-20.3,0.43,0,0,Winter,No Holiday
938,9,1,2018,107,1,-1.9,69,5,791,-6.8,0,0,1,Winter,No Holiday
5087,30,6,2018,1107,22,23.4,88,0.9,1153,21.2,0,0,0,Summer,No Holiday
6405,24,8,2018,1162,20,23.5,81,3.5,2000,20,0,0,0,Summer,No Holiday
7349,3,10,2018,284,4,12.1,80,1.2,1834,8.7,0,0,0,Autumn,Holiday
7904,26,10,2018,556,7,12.6,63,0.8,1265,5.7,0,0,0,Autumn,No Holiday
2775,26,3,2018,575,14,17.4,39,2.9,520,3.2,2.7,0,0,Spring,No Holiday
7859,24,10,2018,811,10,13,63,0.9,854,6.1,1.5,0,0,Autumn,No Holiday
326,14,12,2017,282,13,-3.8,32,0.9,1827,-18.1,0.52,0,0,Winter,No Holiday
3765,6,5,2018,1526,20,17.6,77,1.2,2000,13.5,0.01,0,0,Spring,No Holiday
871,6,1,2018,69,6,-6.5,67,0.7,1175,-11.6,0,0,0,Winter,No Holiday
1990,21,2,2018,345,21,-1.6,52,2.2,2000,-10.1,0,0,0,Winter,No Holiday
8503,20,11,2018,369,6,0.7,50,1,2000,-8.5,0,0,0,Autumn,No Holiday
1553,3,2,2018,205,16,-4.2,31,3.5,1974,-18.8,1.42,0,0,Winter,No Holiday
4048,18,5,2018,906,15,16.7,85,1.2,2000,14.1,0.49,0,0,Spring,No Holiday
179,8,12,2017,261,10,-5.3,44,2.8,1516,-15.6,0.63,0,0,Winter,No Holiday
5932,5,8,2018,401,3,27.3,84,1.7,1089,24.3,0,0,0,Summer,No Holiday
1433,29,1,2018,195,16,-5.5,28,4.3,1926,-21.1,0.78,0,0,Winter,No Holiday
1739,11,2,2018,130,10,-6.9,21,3.4,1827,-25.6,1.16,0,0,Winter,No Holiday
6883,13,9,2018,3146,18,26.7,56,1.8,2000,17.1,0.47,0,0,Autumn,No Holiday
6674,5,9,2018,748,1,20.9,66,1.1,2000,14.3,0,0,0,Autumn,No Holiday
967,10,1,2018,84,6,-7.7,74,1.1,2000,-11.5,0,0,0.8,Winter,No Holiday
5694,26,7,2018,306,5,27.4,78,0.8,1301,23.2,0,0,0,Summer,No Holiday
6073,11,8,2018,1022,0,29.8,63,2,2000,21.9,0,0,0,Summer,No Holiday
5943,5,8,2018,639,14,33.3,55,4.7,1921,23,3.05,0,0,Summer,No Holiday
6840,11,9,2018,1240,23,20.9,53,1.8,2000,10.9,0,0,0,Autumn,No Holiday
7916,26,10,2018,1228,19,12.9,66,2.5,1997,6.6,0,0,0,Autumn,No Holiday
7426,6,10,2018,5,9,16.7,97,2.9,550,16.2,0.05,6,0,Autumn,No Holiday
5140,3,7,2018,233,3,22.8,98,0,1734,22.4,0,0,0,Summer,No Holiday
6290,20,8,2018,527,1,26.6,64,0.2,2000,19.2,0,0,0,Summer,No Holiday
8143,5,11,2018,448,6,7.2,83,0.8,636,4.4,0,0,0,Autumn,No Holiday
7763,20,10,2018,997,10,13,49,0.5,1685,2.5,1.61,0,0,Autumn,No Holiday
3470,24,4,2018,923,13,15.9,53,2.1,2000,6.3,1.54,0,0,Spring,No Holiday
6282,19,8,2018,1721,17,32.7,33,2.5,1994,14.3,1.18,0,0,Summer,No Holiday
1702,9,2,2018,243,21,2.9,63,1,786,-3.4,0,0,0,Winter,No Holiday
59,3,12,2017,200,10,4.4,89,2.2,257,2.7,0.24,0,0,Winter,No Holiday
6043,9,8,2018,1850,18,28.1,86,2.3,1244,25.5,0.28,0.5,0,Summer,No Holiday
2446,12,3,2018,771,21,8.7,49,1.7,464,-1.4,0,0,0,Spring,No Holiday
5954,6,8,2018,455,1,28.7,80,1.5,1295,24.8,0,0,0,Summer,No Holiday
4208,25,5,2018,1250,7,14.4,66,1.1,704,8.1,0.42,0,0,Spring,No Holiday
7946,28,10,2018,531,1,6.9,55,1.8,2000,-1.5,0,0,0,Autumn,No Holiday
45,2,12,2017,359,20,4.6,51,1.2,1585,-4.6,0,0,0,Winter,No Holiday
5729,27,7,2018,905,16,35,55,2.8,835,24.6,1.56,0,0,Summer,No Holiday
2717,24,3,2018,122,4,5.1,54,1.2,550,-3.4,0,0,0,Spring,No Holiday
7667,16,10,2018,854,10,14.4,45,0.6,1206,2.6,1.28,0,0,Autumn,No Holiday
5916,4,8,2018,655,11,33.4,52,2.8,1462,22.1,2.19,0,0,Summer,No Holiday
7896,25,10,2018,919,23,12.5,59,0.8,1602,4.6,0,0,0,Autumn,No Holiday
753,1,1,2018,89,8,-5,55,1,2000,-12.6,0,0,0,Winter,Holiday
8560,22,11,2018,716,15,6.9,31,2.9,1982,-9.1,1.21,0,0,Autumn,No Holiday
2703,23,3,2018,758,14,12.4,33,2.9,811,-3.4,2.71,0,0,Spring,No Holiday
6313,21,8,2018,898,0,28.3,59,3.7,1945,19.5,0,0,0,Summer,No Holiday
1878,17,2,2018,14,5,-5.7,31,2.3,1999,-20.1,0,0,0,Winter,Holiday
5536,19,7,2018,827,15,33.7,41,2.5,1924,18.6,3.04,0,0,Summer,No Holiday
79,4,12,2017,200,6,1.2,76,3.7,371,-2.5,0,0.1,0,Winter,No Holiday
5582,21,7,2018,727,13,35.2,34,1.8,1636,16.9,3.21,0,0,Summer,No Holiday
1411,28,1,2018,157,18,-4.9,35,3.7,2000,-18,0.04,0,0,Winter,No Holiday
1814,14,2,2018,349,13,7.2,65,3.8,773,1,0.61,0,0,Winter,No Holiday
1484,31,1,2018,270,19,-2.2,36,2.2,2000,-15.2,0,0,1.6,Winter,No Holiday
551,23,12,2017,282,22,5.3,79,0.6,200,1.9,0,0,0,Winter,No Holiday
4619,11,6,2018,992,10,23.7,47,1.3,2000,11.7,2.67,0,0,Summer,No Holiday
8368,14,11,2018,1063,15,15.9,30,0.7,1823,-1.6,1.34,0,0,Autumn,No Holiday
1233,21,1,2018,115,8,-3.6,53,0.5,1227,-11.8,0,0,0,Winter,No Holiday
7738,19,10,2018,1191,9,11.1,53,1,2000,1.8,1.05,0,0,Autumn,No Holiday
5887,3,8,2018,544,6,30.5,62,1.3,1583,22.3,0.01,0,0,Summer,No Holiday
4798,18,6,2018,1702,21,23.8,48,2,2000,12.1,0,0,0,Summer,No Holiday
1969,21,2,2018,171,0,-1.4,28,3.4,1990,-17.6,0,0,0,Winter,No Holiday
7174,25,9,2018,1565,21,18.5,48,1,2000,7.2,0,0,0,Autumn,Holiday
2370,9,3,2018,834,17,8.9,46,1.8,789,-2.1,1,0,0,Spring,No Holiday
8497,20,11,2018,478,0,3.8,42,1.7,1458,-7.9,0,0,0,Autumn,No Holiday
6723,7,9,2018,259,2,21.3,76,2.2,1559,16.8,0,0.5,0,Autumn,No Holiday
7209,27,9,2018,2129,8,14.8,51,1.1,2000,4.7,0.59,0,0,Autumn,No Holiday
6369,23,8,2018,1678,8,28.1,58,1.3,2000,19,0.14,0,0,Summer,No Holiday
1324,25,1,2018,32,3,-16,40,1.9,2000,-26.5,0,0,0.7,Winter,No Holiday
5845,1,8,2018,569,12,36.8,39,1.3,1944,20.5,2.8,0,0,Summer,No Holiday
877,6,1,2018,283,12,0,35,2.3,1672,-13.6,1.07,0,0,Winter,No Holiday
240,10,12,2017,148,23,-1.4,43,4.3,2000,-12.3,0,0,0,Winter,No Holiday
2594,19,3,2018,38,1,6.7,84,0.8,320,4.1,0,0,0,Spring,No Holiday
1263,22,1,2018,249,14,3.3,73,0.4,744,-1,0.11,0,0,Winter,No Holiday
6120,12,8,2018,707,23,28.7,81,0.4,1586,25.1,0,0,0,Summer,No Holiday
2037,23,2,2018,295,20,6.4,77,2.8,316,2.6,0,0,0,Winter,No Holiday
2181,1,3,2018,246,20,-2.2,49,3.5,1325,-11.4,0,0,0,Spring,Holiday
93,4,12,2017,398,20,-3.6,38,3,2000,-15.8,0,0,0,Winter,No Holiday
6559,31,8,2018,436,6,22.9,83,0,1239,19.8,0,0,0,Summer,No Holiday
3716,4,5,2018,1890,19,15.5,46,2.6,1782,3.9,0.34,0,0,Spring,No Holiday
6413,25,8,2018,306,4,23.2,79,1.8,1941,19.3,0,0,0,Summer,No Holiday
2057,24,2,2018,509,16,5.9,21,3,1864,-14.8,1.34,0,0,Winter,No Holiday
8462,18,11,2018,905,13,9.9,37,2.1,1900,-4.1,1.32,0,0,Autumn,No Holiday
2812,28,3,2018,150,3,10.9,79,0.8,383,7.3,0,0,0,Spring,No Holiday
5317,10,7,2018,1035,12,24.1,80,0.8,2000,20.4,0.72,0,0,Summer,No Holiday
8515,20,11,2018,1857,18,9.1,31,2,1932,-7.1,0,0,0,Autumn,No Holiday
2942,2,4,2018,818,13,21.9,48,2.5,1113,10.3,2.14,0,0,Spring,No Holiday
8367,14,11,2018,1001,14,16.1,32,1.4,1703,-0.6,1.8,0,0,Autumn,No Holiday
6977,17,9,2018,1445,16,27.6,37,2.8,1935,11.5,1.9,0,0,Autumn,No Holiday
2604,19,3,2018,393,11,10.2,65,3.3,2000,3.9,0.57,0,0,Spring,No Holiday
8305,12,11,2018,456,0,5.4,64,0.8,2000,-0.8,0,0,0,Autumn,No Holiday
1157,18,1,2018,50,4,3.3,80,2.1,232,0.1,0,0,0,Winter,No Holiday
1398,28,1,2018,21,5,-7.5,33,1.5,2000,-21,0,0,0,Winter,No Holiday
1570,4,2,2018,97,9,-12.4,51,3.8,1415,-20.4,0.38,0,0,Winter,No Holiday
675,29,12,2017,210,2,0.5,63,1,691,-5.7,0,0,0,Winter,No Holiday
2151,28,2,2018,17,14,5.7,80,3.7,348,2.5,0.13,0,0,Winter,No Holiday
15,1,12,2017,447,14,3,26,2,2000,-14.6,1.01,0,0,Winter,No Holiday
8723,29,11,2018,595,10,3.9,28,0.6,1627,-12.9,0.49,0,0,Autumn,No Holiday
1392,27,1,2018,103,23,-7.6,42,1.2,1760,-18.3,0,0,0,Winter,No Holiday
3459,24,4,2018,68,2,10.1,83,1.4,2000,7.3,0,0.1,0,Spring,No Holiday
5237,7,7,2018,331,4,20,63,1.8,2000,12.7,0,0,0,Summer,No Holiday
1676,8,2,2018,378,19,-1.8,35,1.4,1558,-15.2,0,0,0,Winter,No Holiday
7613,14,10,2018,185,4,7.9,76,1.3,771,3.9,0,0,0,Autumn,No Holiday
7170,25,9,2018,2033,17,22.9,33,1.4,2000,5.7,0.83,0,0,Autumn,Holiday
1093,15,1,2018,311,12,6.2,64,1.9,549,-0.1,0.79,0,0,Winter,No Holiday
1280,23,1,2018,211,7,-12.5,41,4.5,2000,-23,0,0,1,Winter,No Holiday
4049,18,5,2018,1182,16,17,82,1.9,2000,13.8,0.84,0,0,Spring,No Holiday
4935,24,6,2018,1064,14,31.6,34,2.9,1050,13.8,3.12,0,0,Summer,No Holiday
3451,23,4,2018,39,18,9.4,96,1.9,600,8.7,0.07,1,0,Spring,No Holiday
408,17,12,2017,138,23,-6.9,53,0.7,2000,-14.8,0,0,0,Winter,No Holiday
3672,2,5,2018,294,23,9.5,90,3.6,1017,7.9,0,1,0,Spring,No Holiday
8326,12,11,2018,1189,21,8.5,50,0.5,1707,-1.3,0,0,0,Autumn,No Holiday
3112,9,4,2018,1038,15,14.2,24,1.8,1743,-6.1,2.6,0,0,Spring,No Holiday
5555,20,7,2018,641,10,29.8,59,1.2,973,20.9,2.32,0,0,Summer,No Holiday
1284,23,1,2018,184,11,-11.7,27,4,1935,-26.9,0.94,0,1,Winter,No Holiday
3915,13,5,2018,189,2,14.5,97,2.9,359,14,0,0.1,0,Spring,No Holiday
7413,5,10,2018,44,20,16.5,96,2.7,1047,15.8,0,1,0,Autumn,No Holiday
932,8,1,2018,127,19,0.9,88,1.6,290,-0.8,0,0,0.5,Winter,No Holiday
4658,13,6,2018,1088,1,18.9,77,0.7,1987,14.7,0,0,0,Summer,No Holiday
133,6,12,2017,405,12,2.4,52,0.9,1224,-6.4,1.08,0,0,Winter,No Holiday
2791,27,3,2018,231,6,8.1,66,0.6,415,2.1,0,0,0,Spring,No Holiday
5808,30,7,2018,1202,23,31.7,52,1.2,2000,20.6,0,0,0,Summer,No Holiday
35,2,12,2017,334,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,Winter,No Holiday
4205,25,5,2018,188,4,14.8,71,0.4,700,9.5,0,0,0,Spring,No Holiday
3446,23,4,2018,11,13,9.3,95,2.3,419,8.5,0.4,2.5,0,Spring,No Holiday
5522,19,7,2018,824,1,25.4,79,0.8,924,21.4,0,0,0,Summer,No Holiday
2157,28,2,2018,8,20,2.7,96,1.5,1479,2.1,0,0,0,Winter,No Holiday
3208,13,4,2018,1108,15,18.6,15,0.9,1991,-8.5,0.81,0,0,Spring,No Holiday
4412,2,6,2018,2337,19,25.4,33,2.7,2000,7.9,0.54,0,0,Summer,No Holiday
5138,3,7,2018,407,1,23.1,98,0,958,22.7,0,0,0,Summer,No Holiday
4098,20,5,2018,2310,17,22.4,23,2.4,2000,0.2,1.89,0,0,Spring,No Holiday
1542,3,2,2018,31,5,-6.3,65,3.9,1521,-11.8,0,0,0.3,Winter,No Holiday
190,8,12,2017,336,21,-3.3,35,0.5,2000,-16.6,0,0,0,Winter,No Holiday
6469,27,8,2018,137,12,22.6,90,1.4,1963,20.8,1.02,1,0,Summer,No Holiday
4606,10,6,2018,2026,21,22.1,55,1.5,2000,12.6,0,0,0,Summer,No Holiday
8022,31,10,2018,141,5,4.1,74,0.9,2000,-0.1,0,0,0,Autumn,No Holiday
4731,16,6,2018,764,2,17.9,60,0.8,2000,10,0,0,0,Summer,No Holiday
374,16,12,2017,296,13,-3.7,23,4,1980,-21.8,1.12,0,0,Winter,No Holiday
5054,29,6,2018,1117,13,26.8,65,2,732,19.6,2.37,0,0,Summer,No Holiday
1229,21,1,2018,73,4,-2.3,47,0.7,984,-12.1,0,0,0,Winter,No Holiday
7145,24,9,2018,1433,16,22,31,2.7,2000,4,1.87,0,0,Autumn,Holiday
2461,13,3,2018,626,12,15.5,47,3.3,1303,4.2,2.44,0,0,Spring,No Holiday
2421,11,3,2018,530,20,6.7,32,1.9,1722,-8.8,0,0,0,Spring,No Holiday
1499,1,2,2018,168,10,-5,41,0.5,1799,-16.2,0.64,0,1.5,Winter,No Holiday
6172,15,8,2018,474,3,29.1,70,0.3,1952,23,0,0,0,Summer,Holiday
2147,28,2,2018,285,10,6.5,53,2,518,-2.4,0.21,0,0,Winter,No Holiday
4385,1,6,2018,1488,16,29.9,34,3.2,1912,12.3,2.46,0,0,Summer,No Holiday
4925,24,6,2018,286,4,20.5,90,0.8,223,18.7,0,0,0,Summer,No Holiday
7257,29,9,2018,848,8,15.7,65,1.2,2000,9.1,0.54,0,0,Autumn,No Holiday
3770,7,5,2018,609,1,15.1,84,0.3,1858,12.4,0,0,0,Spring,No Holiday
1683,9,2,2018,107,2,-5.1,47,0.9,1460,-14.6,0,0,0,Winter,No Holiday
4634,12,6,2018,454,1,17.7,92,0.9,1958,16.3,0,0,0,Summer,No Holiday
4044,18,5,2018,352,11,16.6,96,0.7,539,15.9,0.41,0,0,Spring,No Holiday
1678,8,2,2018,268,21,-3.3,42,1.1,1596,-14.4,0,0,0,Winter,No Holiday
7985,29,10,2018,1069,16,11.3,41,3.6,2000,-1.4,0.94,0,0,Autumn,No Holiday
5979,7,8,2018,443,2,27.9,68,0.9,2000,21.4,0,0,0,Summer,No Holiday
1189,19,1,2018,341,12,4.3,28,1.5,1858,-12.6,0.98,0,0,Winter,No Holiday
5389,13,7,2018,1013,12,28.3,68,1.9,1546,21.8,1.35,0,0,Summer,No Holiday
5348,11,7,2018,2328,19,28.2,72,1.6,1745,22.6,0.13,0,0,Summer,No Holiday
2088,25,2,2018,173,23,-0.3,58,1,1945,-7.5,0,0,0,Winter,No Holiday
878,6,1,2018,356,13,0.9,28,2.4,1895,-15.6,1.18,0,0,Winter,No Holiday
2628,20,3,2018,488,11,8.4,34,3.6,1966,-6.5,2.36,0,0,Spring,No Holiday
796,3,1,2018,67,3,-6.1,45,1.3,1999,-16.1,0,0,0,Winter,No Holiday
4934,24,6,2018,1062,13,30.6,31,2.7,1240,11.5,3.24,0,0,Summer,No Holiday
8325,12,11,2018,1292,20,9,48,1.9,1879,-1.4,0,0,0,Autumn,No Holiday
3545,27,4,2018,1446,16,23.2,33,2.4,869,6,2.12,0,0,Spring,No Holiday
